"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","865","createOrder[9: создание заказа с ингредиентами=[null, 61c0c5a71d1f820074], статус авторизации=true]","","Tue Oct 01 14:11:57 MSK 2024","passed","Tue Oct 01 14:11:57 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[9: создание заказа с ингредиентами=[null, 61c0c5a71d1f820074], статус авторизации=true]"
"","477","createDuplicateCourier_shouldReturnError[4: авторизация с невалидными данными: EMAIL=test-qaXX@yandex.ru, PASSWORD=password12399]","","Tue Oct 01 14:12:02 MSK 2024","passed","Tue Oct 01 14:12:03 MSK 2024","","UserAuthWithoutRequiredFieldsTest","UserAuthWithoutRequiredFieldsTest","createDuplicateCourier_shouldReturnError[4: авторизация с невалидными данными: EMAIL=test-qaXX@yandex.ru, PASSWORD=password12399]"
"","307","createUserWithInvalidFields[1: регистрация с пропущенными полями: EMAIL=test-qa9@yandex.ru, PASSWORD=null, NAME=Users9]","","Tue Oct 01 14:12:04 MSK 2024","passed","Tue Oct 01 14:12:04 MSK 2024","","UserCreateWithoutRequiredFieldsTest","UserCreateWithoutRequiredFieldsTest","createUserWithInvalidFields[1: регистрация с пропущенными полями: EMAIL=test-qa9@yandex.ru, PASSWORD=null, NAME=Users9]"
"","422","createDuplicateCourier_shouldReturnError[3: авторизация с невалидными данными: EMAIL=test-qa99@yandex.ru, PASSWORD=password1234]","","Tue Oct 01 14:12:02 MSK 2024","passed","Tue Oct 01 14:12:02 MSK 2024","","UserAuthWithoutRequiredFieldsTest","UserAuthWithoutRequiredFieldsTest","createDuplicateCourier_shouldReturnError[3: авторизация с невалидными данными: EMAIL=test-qa99@yandex.ru, PASSWORD=password1234]"
"","323","createUserWithInvalidFields[3: регистрация с пропущенными полями: EMAIL=null, PASSWORD=null, NAME=null]","","Tue Oct 01 14:12:04 MSK 2024","passed","Tue Oct 01 14:12:05 MSK 2024","","UserCreateWithoutRequiredFieldsTest","UserCreateWithoutRequiredFieldsTest","createUserWithInvalidFields[3: регистрация с пропущенными полями: EMAIL=null, PASSWORD=null, NAME=null]"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1530","updateUserData[7: изменение данных пользователя: EMAIL=test-qa99@yandex.ru, NAME=null, статус авторизации=false]","","Tue Oct 01 14:12:19 MSK 2024","passed","Tue Oct 01 14:12:21 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[7: изменение данных пользователя: EMAIL=test-qa99@yandex.ru, NAME=null, статус авторизации=false]"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1860","updateUserData[0: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=null, статус авторизации=true]","","Tue Oct 01 14:12:07 MSK 2024","passed","Tue Oct 01 14:12:09 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[0: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=null, статус авторизации=true]"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","2041","updateUserData[6: изменение данных пользователя: EMAIL=test-qa99@yandex.ru, NAME=null, статус авторизации=true]","","Tue Oct 01 14:12:17 MSK 2024","passed","Tue Oct 01 14:12:19 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[6: изменение данных пользователя: EMAIL=test-qa99@yandex.ru, NAME=null, статус авторизации=true]"
"","296","createDuplicateCourier_shouldReturnError[2: авторизация с невалидными данными: EMAIL=null, PASSWORD=null]","","Tue Oct 01 14:12:02 MSK 2024","passed","Tue Oct 01 14:12:02 MSK 2024","","UserAuthWithoutRequiredFieldsTest","UserAuthWithoutRequiredFieldsTest","createDuplicateCourier_shouldReturnError[2: авторизация с невалидными данными: EMAIL=null, PASSWORD=null]"
"","2220","createOrder[2: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, null], статус авторизации=true]","","Tue Oct 01 14:11:52 MSK 2024","passed","Tue Oct 01 14:11:55 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[2: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, null], статус авторизации=true]"
"","5931","createOrder[0: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, 61c0c5a71d1f82001bdaaa74], статус авторизации=true]","","Tue Oct 01 14:11:44 MSK 2024","passed","Tue Oct 01 14:11:50 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[0: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, 61c0c5a71d1f82001bdaaa74], статус авторизации=true]"
"","287","createOrder[7: создание заказа с ингредиентами=[, ], статус авторизации=false]","","Tue Oct 01 14:11:56 MSK 2024","passed","Tue Oct 01 14:11:56 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[7: создание заказа с ингредиентами=[, ], статус авторизации=false]"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1930","updateUserData[1: изменение данных пользователя: EMAIL=null, NAME=New Name, статус авторизации=true]","","Tue Oct 01 14:12:09 MSK 2024","passed","Tue Oct 01 14:12:11 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[1: изменение данных пользователя: EMAIL=null, NAME=New Name, статус авторизации=true]"
"","347","createUserWithInvalidFields[2: регистрация с пропущенными полями: EMAIL=test-qa9@yandex.ru, PASSWORD=password1239, NAME=null]","","Tue Oct 01 14:12:04 MSK 2024","passed","Tue Oct 01 14:12:04 MSK 2024","","UserCreateWithoutRequiredFieldsTest","UserCreateWithoutRequiredFieldsTest","createUserWithInvalidFields[2: регистрация с пропущенными полями: EMAIL=test-qa9@yandex.ru, PASSWORD=password1239, NAME=null]"
"","469","loginUser","","Tue Oct 01 14:12:00 MSK 2024","passed","Tue Oct 01 14:12:01 MSK 2024","","UserAuthTest","UserAuthTest","loginUser"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1361","updateUserData[4: изменение данных пользователя: EMAIL=null, NAME=New Name, статус авторизации=false]","","Tue Oct 01 14:12:14 MSK 2024","passed","Tue Oct 01 14:12:15 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[4: изменение данных пользователя: EMAIL=null, NAME=New Name, статус авторизации=false]"
"","328","createOrder[4: создание заказа с ингредиентами=[null, 61c0c5a71d1f82001bdaaa74], статус авторизации=false]","","Tue Oct 01 14:11:55 MSK 2024","passed","Tue Oct 01 14:11:55 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[4: создание заказа с ингредиентами=[null, 61c0c5a71d1f82001bdaaa74], статус авторизации=false]"
"","291","createOrder[5: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, null], статус авторизации=false]","","Tue Oct 01 14:11:55 MSK 2024","passed","Tue Oct 01 14:11:56 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[5: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, null], статус авторизации=false]"
"","309","createOrder[3: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, 61c0c5a71d1f82001bdaaa74], статус авторизации=false]","","Tue Oct 01 14:11:55 MSK 2024","passed","Tue Oct 01 14:11:55 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[3: создание заказа с ингредиентами=[61c0c5a71d1f82001bdaaa78, 61c0c5a71d1f82001bdaaa74], статус авторизации=false]"
"","303","createOrder[8: создание заказа с ингредиентами=[, 61c0c5a71d1f82001bdaaa74], статус авторизации=false]","","Tue Oct 01 14:11:56 MSK 2024","passed","Tue Oct 01 14:11:57 MSK 2024","","CreateOrderTest","CreateOrderTest","createOrder[8: создание заказа с ингредиентами=[, 61c0c5a71d1f82001bdaaa74], статус авторизации=false]"
"","452","createDuplicateCourier_shouldReturnError[5: авторизация с невалидными данными: EMAIL= , PASSWORD= ]","","Tue Oct 01 14:12:03 MSK 2024","passed","Tue Oct 01 14:12:03 MSK 2024","","UserAuthWithoutRequiredFieldsTest","UserAuthWithoutRequiredFieldsTest","createDuplicateCourier_shouldReturnError[5: авторизация с невалидными данными: EMAIL= , PASSWORD= ]"
"Тест проверяет возможность изменения полей пользователя (email и имя) в зависимости от авторизации.","1415","updateUserData[3: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=null, статус авторизации=false]","","Tue Oct 01 14:12:13 MSK 2024","passed","Tue Oct 01 14:12:14 MSK 2024","","UserUpdateDataTest","UserUpdateDataTest","updateUserData[3: изменение данных пользователя: EMAIL=new-email@gmail.com, NAME=null, статус авторизации=false]"
"","1410","createExistingUserShouldReturnError","","Tue Oct 01 14:12:05 MSK 2024","passed","Tue Oct 01 14:12:06 MSK 2024","","UserUniqueCreateTest","UserUniqueCreateTest","createExistingUserShouldReturnError"
"","429","createDuplicateCourier_shouldReturnError[1: авторизация с невалидными данными: EMAIL=test-qa99@yandex.ru, PASSWORD=null]","","Tue Oct 01 14:12:01 MSK 2024","passed","Tue Oct 01 14:12:02 MSK 2024","","UserAuthWithoutRequiredFieldsTest","UserAuthWithoutRequiredFieldsTest","createDuplicateCourier_shouldReturnError[1: авторизация с невалидными данными: EMAIL=test-qa99@yandex.ru, PASSWORD=null]"
